date,momentum,strength,safe_haven,Fear_Greed_Index
2020-04-09,53.41363820234369,100.0,50.81489222188381,68.07617680807583
2020-04-13,50.59153626854203,39.088729016787674,50.251472567950785,46.64391261776016
2020-04-14,57.840712328398894,100.0,55.532611811122926,71.1244413798406
2020-04-15,50.79986104900122,38.217213114754095,44.54930394861923,44.52212603745818
2020-04-16,52.135010374084274,51.94672131147566,43.92262428544544,49.334785323668456
2020-04-17,59.51002050399401,100.0,53.472900803507,70.99430710250033
2020-04-20,53.27649225005707,59.952418715305264,47.18896552739639,53.472625497586236
2020-04-21,44.13236690447232,0.0,37.332859626695964,27.155075510389427
2020-04-22,51.19461621196506,44.558823529411896,46.14379369852441,47.29907781330046
2020-04-23,51.1511094079823,44.41176470588219,45.15574608784284,46.906206733902444
2020-04-24,55.30005383883455,73.01470588235317,48.205706950429715,58.840155557205804
2020-04-27,59.34734184414321,100.0,55.99977735383944,71.78237306599421
2020-04-28,57.30907836527655,90.57815845824415,51.77333369378698,66.55352350576922
2020-04-29,64.9684921324545,100.0,58.83735430615218,74.60194881286888
2020-04-30,61.10119120473044,86.46504709965312,58.80468286091576,68.79030705509977
2020-05-01,52.12222800456155,48.33911750123956,50.21790809329842,50.2264178663665
2020-05-04,52.90932674741846,52.206246901338595,51.94684231972122,52.35413865615942
2020-05-05,55.675155171541356,65.19583539910761,55.51704374525264,58.79601143863387
2020-05-06,53.30666549457538,55.57759048091226,57.441117161307766,55.441791045598464
2020-05-07,56.96520866398765,72.5830441249381,55.97457058221414,61.84094112371329
2020-05-08,61.921857838381904,96.18244918195347,62.59647409947744,73.5669270399376
2020-05-11,61.4954873506368,96.47992067426881,63.903692365221005,73.95970013004221
2020-05-12,54.62131309468669,67.57560733763026,56.18742412461484,59.46144818564393
2020-05-13,48.872545392030354,42.439266236985716,49.91114720053231,47.074319609849454
2020-05-14,52.68223902994341,59.14724838869624,50.40854946043247,54.07934562635737
2020-05-15,54.068780311046915,65.64204263758046,52.10942590628755,57.27341628497163
2020-05-18,63.61304578681659,100.0,64.42360194830563,76.0122159117074
2020-05-19,59.80689351666821,86.20218579234984,60.63034561317721,68.8798083073984
2020-05-20,64.99367907047257,100.0,63.52050974217162,76.17139627088139
2020-05-21,62.25406154802821,91.41900376726659,60.864611355515216,71.51255889027
2020-05-22,62.50857924987278,93.7630807869401,59.54070961530061,71.9374565507045
2020-05-26,66.1718628671257,100.0,65.29829619340326,77.15671968684298
2020-05-27,70.61933319814896,100.0,68.69423116629983,79.77118812148292
2020-05-28,69.40664045009139,98.16333224007889,68.5999614832323,78.72331139113419
2020-05-29,70.3541936087973,100.0,67.48277536683825,79.27898965854519
2020-06-01,71.15420979000791,100.0,69.80228642412821,80.3188320713787
2020-06-02,73.37391077152796,100.0,72.01577915529018,81.79656330893937
2020-06-03,77.26409339819922,100.0,77.4628115306026,84.9089683096006
2020-06-04,75.65528163588259,97.90495656617273,79.47883005803975,84.34635608669835
2020-06-05,83.74526416523017,100.0,85.88574109738931,89.87700175420649
2020-06-08,87.10293293596203,100.0,86.88556691421607,91.32949995005936
2020-06-09,83.54504098369841,95.19537480063802,82.07586062452482,86.93875880295374
2020-06-10,80.78388159955105,91.62679425837322,76.93297770009497,83.11455118600641
2020-06-11,60.044035054165064,54.964114832535905,58.234382515559176,57.74751080075338
2020-06-12,63.76369040935062,62.141148325358806,63.20290807690837,63.035915603872596
2020-06-15,66.57272374456466,67.80303030303033,64.98055810170717,66.45210404976739
2020-06-16,72.65945313154604,79.58532695374797,72.65860708767818,74.96779572432405
2020-06-17,70.77542913672127,76.9936204146731,70.32481506185837,72.69795487108425
2020-06-18,70.48560296935904,77.23285486443376,67.58567292399859,71.76804358593046
2020-06-19,66.6732891628959,70.97288676236042,64.68976019169868,67.445312038985
2020-06-22,68.50397059254978,74.9202551834131,65.88327011739116,69.76916529778468
2020-06-23,69.70486962453315,77.77113237639557,68.26185775588627,71.91261991893833
2020-06-24,60.71462939300375,61.901913875598034,59.28781176205061,60.634785010217456
2020-06-25,64.0639721525503,68.40111642743226,60.981226565052374,64.48210504834498
2020-06-26,55.91221399632722,53.847687400319,52.32347717401498,54.02779285688706
2020-06-29,60.60251834679515,62.639553429027075,56.63088020395617,59.957650659926124
2020-06-30,64.65444493135426,70.41467304625203,60.76232483974649,65.27714760578426
2020-07-01,66.7498477115877,74.72089314194574,62.986476023093935,68.15240562554246
2020-07-02,68.3230083639153,78.12998405103673,63.82532048059746,70.09277096518316
2020-07-06,73.23033046014233,87.7392344497608,68.16460106723308,76.37805532571207
2020-07-07,69.31740172805537,81.22009569377985,62.13874834013477,70.89208192065666
2020-07-08,71.59870825518846,86.00478468899524,64.70528906409112,74.1029273360916
2020-07-09,69.3156817179821,82.41626794258373,59.333331604296006,70.35509375495394
2020-07-10,72.47541008269569,88.81578947368418,62.830613027469845,74.70727086128323
2020-07-13,69.16794252854976,83.33333333333329,59.75493903150792,70.75207163113032
2020-07-14,73.2700682899855,91.4673046251994,62.350385469354485,75.69591946151313
2020-07-15,76.06815511001928,97.30861244019145,65.44896769430066,79.60857841483713
2020-07-16,74.5386043409162,95.19537480063802,63.32156859578787,77.68518257911403
2020-07-17,75.17522526165196,97.04944178628396,64.31616252197632,78.84694318997074
2020-07-20,77.5953168235037,100.0,65.43876809550983,81.01136163967116
2020-07-21,77.93411915042056,100.0,65.58703689995981,81.17371868346011
2020-07-22,79.51275780394164,100.0,66.01074931633009,81.84116904009056
2020-07-23,74.92641661174427,92.75362318840573,60.16277430803665,75.94760470272888
