date,momentum,strength,safe_haven,Fear_Greed_Index
2020-04-21,47.22613165046156,0.0,43.57955725285408,30.268562967771878
2020-04-22,53.83494592750593,70.87719298245655,50.950799492160215,58.554312800707564
2020-04-23,53.45655964232493,70.64327485380112,49.46873882552857,57.8561911072182
2020-04-24,56.982275188877416,100.0,51.739112225196415,69.57379580469127
2020-04-27,60.267593033802555,100.0,58.22987710760702,72.83249004713652
2020-04-28,57.77553912470679,90.57815845824415,53.522125827676476,67.29194113687579
2020-04-29,64.84557466695559,100.0,59.7514175084578,74.86566405847113
2020-04-30,60.557872108531406,86.46504709965312,59.13865953300612,68.72052624706355
2020-05-01,51.55330880506037,48.33911750123956,50.48127042255467,50.124565576284866
2020-05-04,52.46929792203825,52.206246901338595,52.08021697936824,52.25192060091502
2020-05-05,55.3032856612053,65.19583539910761,55.435573085542345,58.644898048618415
2020-05-06,52.962172027712064,55.57759048091226,57.137802493567975,55.22585500073076
2020-05-07,56.68339636905231,72.5830441249381,55.52356746383447,61.59666931927495
2020-05-08,61.627084621757334,96.18244918195347,61.90072716474482,73.23675365615188
2020-05-11,61.10151830688834,96.47992067426881,62.97450242442931,73.51864713519548
2020-05-12,54.13179268957792,67.57560733763026,55.15994587262314,58.95578196661043
2020-05-13,48.399559414810454,42.439266236985716,48.903412712823574,46.58074612153992
2020-05-14,52.36855114770535,59.14724838869624,49.4366447965184,53.650814777639994
2020-05-15,53.83481188477185,65.64204263758046,51.151949485331734,56.876268002561346
2020-05-18,63.52257712075554,100.0,63.37533781137851,75.63263831071134
2020-05-19,59.610996485808535,86.20218579234984,59.486444029741044,68.4332087692998
2020-05-20,64.84547350144292,100.0,62.29340244480413,75.71295864874901
2020-05-21,62.01263277397485,91.41900376726659,59.56402621263154,70.99855425129098
2020-05-22,62.245209449609455,93.7630807869401,58.192705849345025,71.40033202863151
2020-05-26,65.93598437959568,100.0,63.90139198781743,76.61245878913769
2020-05-27,70.39852753080794,100.0,67.22162779570749,79.20671844217179
2020-05-28,69.09590412979999,98.16333224007889,67.04248626729543,78.10057421239142
2020-05-29,70.0023669078856,100.0,65.8499905147994,78.61745247422832
2020-06-01,70.7604991412036,100.0,68.11125276664666,79.62391730261675
2020-06-02,72.96169199542729,100.0,70.2620634358607,81.07458514376265
2020-06-03,76.8521166486602,100.0,75.65188907791156,84.16800190885724
2020-06-04,75.14592428516445,97.90495656617273,77.58556666227771,83.5454825045383
2020-06-05,83.30235290109319,100.0,83.92960642180094,89.07731977429803
2020-06-08,86.61890991142693,100.0,84.82774141505375,90.48221710882689
2020-06-09,82.90845722128466,95.19537480063802,79.88976360081065,85.99786520757777
2020-06-10,80.03328603320291,91.62679425837322,74.64062260904953,82.10023430020856
2020-06-11,58.918466989232556,54.964114832535905,55.78020511796407,56.55426231324417
2020-06-12,62.73393855108359,62.141148325358806,60.80343862120129,61.89284183254789
2020-06-15,65.6101991862944,67.80303030303033,62.5979916987014,65.33707372934204
2020-06-16,71.80827739280514,79.58532695374797,70.32552752793896,73.90637729149735
2020-06-17,69.88467175080977,76.9936204146731,67.95202896448342,71.6101070433221
2020-06-18,69.58976901300673,77.23285486443376,65.1799681235997,70.6675306670134
2020-06-19,65.7153227227828,70.97288676236042,62.260165222623534,66.31612490258891
2020-06-22,67.59183424928037,74.9202551834131,63.468197867872576,68.66009576685533
2020-06-23,68.82309936581919,77.77113237639557,65.86706176375961,70.82043116865812
2020-06-24,59.68371949747568,61.901913875598034,56.825679406736,59.47043759326991
2020-06-25,63.12305212029087,68.40111642743226,58.554288574628934,63.35948570745069
2020-06-26,54.847998242604,53.847687400319,49.853149310000845,52.84961165097461
2020-06-29,59.66367028221025,62.639553429027075,54.2319038139256,58.845042508387635
2020-06-30,63.81817846688796,70.41467304625203,58.42085913714131,64.21790355009377
2020-07-01,65.97125065070509,74.72089314194574,60.67822788454657,67.12345722573247
2020-07-02,67.58802767473787,78.12998405103673,61.535050705337106,69.0843541437039
2020-07-06,72.59742337611017,87.7392344497608,65.91606026553326,75.41757269713474
2020-07-07,68.61359150260738,81.22009569377985,59.84705141466226,69.89357953701649
2020-07-08,70.94758121022045,86.00478468899524,62.44643426404372,73.13293338775313
2020-07-09,68.62782461344136,82.41626794258373,57.043869826872005,69.36265412763237
2020-07-10,71.85775419689944,88.81578947368418,60.58625342242987,73.75326569767117
2020-07-13,68.49301399071528,83.33333333333329,57.50051492867728,69.77562075090862
2020-07-14,72.6844874187202,91.4673046251994,60.13304249766153,74.76161151386037
2020-07-15,75.54052282471164,97.30861244019145,63.26745401826962,78.70552976105756
2020-07-16,73.98230980050376,95.19537480063802,61.13200825004273,76.7698976170615
2020-07-17,74.63473543158909,97.04944178628396,62.14524558772681,77.94314093519995
2020-07-20,77.10437879337292,100.0,63.28579283408899,80.13005720915396
2020-07-21,77.44961061233751,100.0,63.44306160990531,80.29755740741426
2020-07-22,79.05869611805612,100.0,63.87767981158955,80.97879197654855
2020-07-23,74.38208226648673,92.75362318840573,57.99365995433426,75.04312180307556
2020-07-24,71.77350524146112,88.88888888888886,56.3051243018011,72.32250614405035
2020-07-27,74.02268480960656,93.23671497584543,58.88023562539914,75.3798784702837
2020-07-28,71.46528875819067,89.42772203641769,55.50983720208825,72.13428266556554
2020-07-29,75.4735256975495,96.7670011148272,58.82271921307242,77.02108200848303
2020-07-30,73.87201958124827,94.61166852471193,56.21969757871127,74.90112856155716
2020-07-31,76.33645397429675,99.36826458565584,58.204338648339935,77.9696857360975
2020-08-03,78.45039549838138,100.0,61.25056565888622,79.90032038575586
